Nro;AgrupaProducto;cod_AgrupaProducto;fecha_venta;Dia;NumeroMes;Mes;Anio;Suma_cantidad;Edad;Sexo;Hombre;Mujer;cod_Evento_Especial;Evento_Especial;Evento_Carnavales;Evento_Dia_LaPaz;Evento_Dia_Madre;Evento_Fiesta_Patria;Evento_Laboral;Evento_Navidad;Evento_Todos_Santos;Promedio_3_meses;Promedio_6_meses;Promedio_12_meses;Estacionalidad;Tendencia
394;ABARROTES VARIOS;1;7/2/2022;7;2;2;2022;17;32;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;384,9056604;5,772698425
403;ABARROTES VARIOS;1;8/2/2022;8;2;2;2022;16;26;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;300;7,81815874
415;ABARROTES VARIOS;1;9/2/2022;9;2;2;2022;28;22;2;0;1;1;1;1;0;0;0;0;0;0;20,33333333;0;0;381,8181818;11,85452699
444;ABARROTES VARIOS;1;11/2/2022;11;2;2;2022;26;39;1;1;0;1;1;1;0;0;0;0;0;0;23,33333333;0;0;281,0810811;14,68362159
445;ABARROTES VARIOS;1;11/2/2022;11;2;2;2022;25;39;2;0;1;1;1;1;0;0;0;0;0;0;26,33333333;0;0;227,2727273;16,74689727
461;ABARROTES VARIOS;1;12/2/2022;12;2;2;2022;19;63;1;1;0;1;1;1;0;0;0;0;0;0;23,33333333;21,83333333;0;154,0540541;17,19751782
472;ABARROTES VARIOS;1;13/2/2022;13;2;2;2022;28;46;1;1;0;1;1;1;0;0;0;0;0;0;24;25,16666667;0;174,0932642;20,6064114
473;ABARROTES VARIOS;1;13/2/2022;13;2;2;2022;25;46;2;0;1;1;1;1;0;0;0;0;0;0;23;23,16666667;0;176,4705882;18,75801426
499;ABARROTES VARIOS;1;15/2/2022;15;2;2;2022;28;32;1;1;0;1;1;1;0;0;0;0;0;0;27;25,16666667;0;152,7272727;22,08512912
504;ABARROTES VARIOS;1;15/2/2022;15;2;2;2022;10;32;1;1;0;1;1;1;0;0;0;0;0;0;22;22,5;0;52,86343612;19,6681033
533;ABARROTES VARIOS;1;18/2/2022;18;2;2;2022;16;27;2;0;1;1;1;1;0;0;0;0;0;0;18;21;0;80;18,93448264
550;ABARROTES VARIOS;1;19/2/2022;19;2;2;2022;29;51;2;0;1;1;1;1;0;0;0;0;0;0;18,33333333;22,66666667;22,25;130,3370787;20,94758611
565;ABARROTES VARIOS;1;20/2/2022;20;2;2;2022;18;58;1;1;0;1;1;1;0;0;0;0;0;0;21;21,5;22,33333333;80,59701493;20,35806889
580;ABARROTES VARIOS;1;21/2/2022;21;2;2;2022;12;58;1;1;0;1;1;1;0;0;0;0;0;0;13,33333333;15,83333333;20,5;58,53658537;17,02916409
582;ABARROTES VARIOS;1;21/2/2022;21;2;2;2022;10;58;2;0;1;1;1;1;0;0;0;0;0;0;19;18,5;21,83333333;45,80152672;18,28645511
654;ABARROTES VARIOS;1;26/2/2022;26;2;2;2022;16;28;1;1;0;1;1;1;0;0;0;0;0;0;12,66666667;16,83333333;19,66666667;81,3559322;16,82333127
666;ABARROTES VARIOS;1;27/2/2022;27;2;2;2022;28;61;2;0;1;1;1;1;0;0;0;0;0;0;18,66666667;18,83333333;19,91666667;140,5857741;19,05866502
668;ABARROTES VARIOS;1;27/2/2022;27;2;2;2022;22;61;1;1;0;1;1;1;0;0;0;0;0;0;22;17,66666667;20,16666667;109,0909091;19,64693201
755;ABARROTES VARIOS;1;1/3/2022;1;3;3;2022;25;46;1;1;0;0;0;0;0;0;0;1;0;0;21;19,83333333;19,16666667;434,7826087;9,306013653
758;ABARROTES VARIOS;1;1/3/2022;1;3;3;2022;16;46;1;1;0;0;0;0;0;0;0;1;0;0;22;17,33333333;19,41666667;426,6666667;5,382517066
771;ABARROTES VARIOS;1;2/3/2022;2;3;3;2022;15;43;1;1;0;0;0;0;0;0;0;1;0;0;18,66666667;20,33333333;18,08333333;227,8481013;10,44481092
794;ABARROTES VARIOS;1;3/3/2022;3;3;3;2022;12;40;1;1;0;0;0;0;0;0;0;1;0;0;17,33333333;19,66666667;18,25;161,7977528;10,75584874
810;ABARROTES VARIOS;1;4/3/2022;4;3;3;2022;30;45;1;1;0;0;0;0;0;0;0;1;0;0;19;20;19,41666667;305,0847458;14,60467899
811;ABARROTES VARIOS;1;4/3/2022;4;3;3;2022;30;45;1;1;0;0;0;0;0;0;0;1;0;0;24;21,33333333;19,5;244,8979592;17,68374319
828;ABARROTES VARIOS;1;5/3/2022;5;3;3;2022;22;31;2;0;1;0;0;0;0;0;0;1;0;0;27,33333333;22,33333333;19,83333333;160,9756098;18,54699455
842;ABARROTES VARIOS;1;6/3/2022;6;3;3;2022;25;36;2;0;1;0;0;0;0;0;0;1;0;0;25,66666667;22,33333333;21,08333333;162,1621622;19,83759564
844;ABARROTES VARIOS;1;6/3/2022;6;3;3;2022;16;51;2;0;1;0;0;0;0;0;0;1;0;0;17,33333333;22,33333333;21;92,30769231;17,65606121
846;ABARROTES VARIOS;1;6/3/2022;6;3;3;2022;11;51;2;0;1;0;0;0;0;0;0;1;0;0;19,33333333;21,66666667;21;67,69230769;18,07007651
865;ABARROTES VARIOS;1;7/3/2022;7;3;3;2022;28;40;2;0;1;0;0;0;0;0;0;1;0;0;18,33333333;22;21;145,4545455;19,72484897
882;ABARROTES VARIOS;1;8/3/2022;8;3;3;2022;22;26;2;0;1;0;0;0;0;0;0;1;0;0;22;20,66666667;21;104,7619048;20,17987918
902;ABARROTES VARIOS;1;9/3/2022;9;3;3;2022;27;49;2;0;1;0;0;0;0;0;0;1;0;0;24,33333333;21,33333333;21,83333333;123,6641221;22,15512267
903;ABARROTES VARIOS;1;9/3/2022;9;3;3;2022;24;22;2;0;1;0;0;0;0;0;0;1;0;0;24,66666667;21;21,66666667;110,7692308;20,94390334
920;ABARROTES VARIOS;1;10/3/2022;10;3;3;2022;20;64;2;0;1;0;0;0;0;0;0;1;0;0;23,66666667;22,83333333;22,25;89,88764045;21,72409814
921;ABARROTES VARIOS;1;10/3/2022;10;3;3;2022;20;64;2;0;1;0;0;0;0;0;0;1;0;0;22,33333333;23,5;22,91666667;87,27272727;21,37927851
947;ABARROTES VARIOS;1;12/3/2022;12;3;3;2022;24;63;2;0;1;0;0;0;0;0;0;1;0;0;21,33333333;22,83333333;22,41666667;107,063197;21,90342281
985;ABARROTES VARIOS;1;14/3/2022;14;3;3;2022;21;40;1;1;0;0;0;0;0;0;0;1;0;0;19,66666667;21;21;100;20,4581906
986;ABARROTES VARIOS;1;14/3/2022;14;3;3;2022;14;40;1;1;0;0;0;0;0;0;0;1;0;0;19,33333333;21,5;21,08333333;66,40316206;20,32273825
1017;ABARROTES VARIOS;1;16/3/2022;16;3;3;2022;30;59;2;0;1;0;0;0;0;0;0;1;0;0;21,66666667;21,5;21,41666667;140,077821;22,36655248
1021;ABARROTES VARIOS;1;16/3/2022;16;3;3;2022;20;18;1;1;0;0;0;0;0;0;0;1;0;0;22,66666667;21,16666667;22,33333333;89,55223881;21,19459359
1023;ABARROTES VARIOS;1;16/3/2022;16;3;3;2022;18;18;2;0;1;0;0;0;0;0;0;1;0;0;23;21,16666667;22;81,81818182;21,49324198
1041;ABARROTES VARIOS;1;17/3/2022;17;3;3;2022;26;55;1;1;0;0;0;0;0;0;0;1;0;0;19,66666667;21,33333333;21,41666667;121,4007782;20,84453989
1045;ABARROTES VARIOS;1;17/3/2022;17;3;3;2022;13;55;2;0;1;0;0;0;0;0;0;1;0;0;17;19,33333333;21,08333333;61,66007905;19,55567487
1061;ABARROTES VARIOS;1;18/3/2022;18;3;3;2022;26;18;2;0;1;0;0;0;0;0;0;1;0;0;22,66666667;19,83333333;20,66666667;125,8064516;21,10050553
1064;ABARROTES VARIOS;1;18/3/2022;18;3;3;2022;16;27;2;0;1;0;0;0;0;0;0;1;0;0;18,33333333;20,5;20,75;77,10843373;19,87563192
1082;ABARROTES VARIOS;1;19/3/2022;19;3;3;2022;20;51;1;1;0;0;0;0;0;0;0;1;0;0;20,66666667;20,16666667;20,66666667;96,77419355;20,88040443
1098;ABARROTES VARIOS;1;20/3/2022;20;3;3;2022;14;58;2;0;1;0;0;0;0;0;0;1;0;0;20;19,16666667;20,16666667;69,4214876;19,50432354
1130;ABARROTES VARIOS;1;22/3/2022;22;3;3;2022;22;25;1;1;0;0;0;0;0;0;0;1;0;0;16,33333333;18,5;19,91666667;110,460251;18,96276707
1132;ABARROTES VARIOS;1;22/3/2022;22;3;3;2022;13;25;2;0;1;0;0;0;0;0;0;1;0;0;15,66666667;19,16666667;19,25;67,53246753;18,20345883
1151;ABARROTES VARIOS;1;23/3/2022;23;3;3;2022;29;44;2;0;1;0;0;0;0;0;0;1;0;0;21,66666667;18,66666667;19,25;150,6493506;20,17617092
1152;ABARROTES VARIOS;1;23/3/2022;23;3;3;2022;14;44;1;1;0;0;0;0;0;0;0;1;0;0;16,33333333;18,16666667;19,33333333;72,4137931;17,97021365
1169;ABARROTES VARIOS;1;24/3/2022;24;3;3;2022;28;47;2;0;1;0;0;0;0;0;0;1;0;0;25,66666667;21;20,08333333;139,4190871;21,71274939
1171;ABARROTES VARIOS;1;24/3/2022;24;3;3;2022;20;47;2;0;1;0;0;0;0;0;0;1;0;0;21;18,66666667;19,41666667;103,0042918;20,14093674
1187;ABARROTES VARIOS;1;25/3/2022;25;3;3;2022;27;35;2;0;1;0;0;0;0;0;0;1;0;0;25,33333333;23,16666667;20,83333333;129,6;22,65615961
1189;ABARROTES VARIOS;1;25/3/2022;25;3;3;2022;21;35;2;0;1;0;0;0;0;0;0;1;0;0;23;22,33333333;20,75;101,2048193;21,57019951
1207;ABARROTES VARIOS;1;26/3/2022;26;3;3;2022;23;28;1;1;0;0;0;0;0;0;0;1;0;0;23,66666667;24,66666667;21,41666667;107,3929961;22,72492769
1231;ABARROTES VARIOS;1;28/3/2022;28;3;3;2022;22;51;1;1;0;0;0;0;0;0;0;1;0;0;24;23,5;21,08333333;104,3478261;22,57994215
1233;ABARROTES VARIOS;1;28/3/2022;28;3;3;2022;12;51;1;1;0;0;0;0;0;0;0;1;0;0;19;22,16666667;20,41666667;58,7755102;20,46395372
1249;ABARROTES VARIOS;1;30/3/2022;30;3;3;2022;24;19;2;0;1;0;0;0;0;0;0;1;0;0;19,33333333;21,5;21,25;112,9411765;21,17116298
1250;ABARROTES VARIOS;1;30/3/2022;30;3;3;2022;24;19;1;1;0;0;0;0;0;0;0;1;0;0;20;22;22,16666667;108,2706767;21,73693038
1336;ABARROTES VARIOS;1;2/4/2022;2;4;4;2022;28;56;1;1;0;0;0;0;0;0;0;1;0;0;25;22,16666667;23,41666667;420;11,30259184
1337;ABARROTES VARIOS;1;2/4/2022;2;4;4;2022;23;56;2;0;1;0;0;0;0;0;0;1;0;0;23,66666667;21,33333333;22,25;492,8571429;7,128239805
1344;ABARROTES VARIOS;1;3/4/2022;3;4;4;2022;28;37;2;0;1;0;0;0;0;0;0;1;0;0;24,33333333;24;23,08333333;280;15,55365878
1348;ABARROTES VARIOS;1;3/4/2022;3;4;4;2022;17;37;2;0;1;0;0;0;0;0;0;1;0;0;22,66666667;21,33333333;22,41666667;219,3548387;12,44207348
1359;ABARROTES VARIOS;1;4/4/2022;4;4;4;2022;23;47;1;1;0;0;0;0;0;0;0;1;0;0;22;22,33333333;22,16666667;181,5789474;16,95434162
1362;ABARROTES VARIOS;1;4/4/2022;4;4;4;2022;15;47;1;1;0;0;0;0;0;0;0;1;0;0;20;22,5;22;134,3283582;15,44292702
1391;ABARROTES VARIOS;1;7/4/2022;7;4;4;2022;28;22;2;0;1;0;0;0;0;0;0;1;0;0;22;23,16666667;22,25;187,7094972;19,1634733
1394;ABARROTES VARIOS;1;7/4/2022;7;4;4;2022;10;22;2;0;1;0;0;0;0;0;0;1;0;0;20,33333333;20,16666667;21,16666667;64,51612903;17,33077864
